task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
CCRCC,shipped,conch_v15,donor,abs,24,0.8643988984872251,0.14231643659247614,2.141435986185621,0.11394013708836892,3.4976013759309534,0.0953374803553619,0.04026362115741306,donor,35996,False
CCRCC,shipped,conch_v15,donor,scaled,24,0.8763035902349792,0.12838774427709534,2.1606440402653924,0.30332099081264824,3.3668041996020315,0.1069253618909493,0.0167710478740716,donor,35996,False
CCRCC,shipped,conch_v15,patient,abs,6,0.8611333031026572,0.0941781471000212,2.2653365778736743,0.22930996913906865,3.6591085186702585,0.08953201189813502,0.04933468499920774,patient,35996,False
CCRCC,shipped,conch_v15,patient,scaled,6,0.8827456333370162,0.05904525722888252,2.3034734809986364,0.17719733749806033,3.466436555028069,0.09718772029917505,0.02006664636380884,patient,35996,False
CCRCC,shipped,conch_v15,random,abs,6,0.8761762820470711,0.0012258970965535708,1.7149292260780908,0.002059621221435326,2.4302946207436436,0.08388573275078524,0.03993798520214373,spot,35996,False
CCRCC,shipped,conch_v15,random,scaled,6,0.9004082507740846,0.001090734156448942,1.7176606383480593,0.003277108216853492,2.2347938211568916,0.08352582357428369,0.01606592565163171,spot,35996,False
COAD,shipped,conch_v15,donor,abs,4,0.8711062598454562,0.03568309113730709,3.3660059190232663,0.22600968145430664,5.241599866628933,0.07682751315030431,0.05206622700423943,donor,3389,False
COAD,shipped,conch_v15,donor,scaled,4,0.8747194020833584,0.03481799141142702,3.7905624255708728,0.31394784825939726,5.453562042263864,0.07997420622035305,0.04530639169628848,donor,3389,False
COAD,shipped,conch_v15,patient,abs,2,0.7337560810999602,0.14708847504689498,2.556137832761066,0.8544499288148537,8.517769869717043,0.18455900453682947,0.08168491436321038,block;slide,3389,False
COAD,shipped,conch_v15,patient,scaled,2,0.7165636356355655,0.18622287374439206,2.691679917625496,1.2149438151504097,9.065993192828767,0.20883032629769613,0.0746060380667384,block;slide,3389,False
COAD,shipped,conch_v15,random,abs,2,0.8965498563153003,0.000153337163226838,2.4125165662233634,0.002497234932157106,3.3327562890428597,0.05762395523421824,0.04582618845048143,spot,3389,False
COAD,shipped,conch_v15,random,scaled,2,0.9001736374220277,0.00023508903991796608,2.593639290836178,0.0032378361687335723,3.3429704017937683,0.0653657281310175,0.034460634446954866,spot,3389,False
HCC,shipped,conch_v15,donor,abs,2,0.7698310964281485,0.053016256970422254,1.625189352051826,0.19851583082053692,3.878539657935754,0.15547625841861903,0.07469264515323248,block,1203,False
HCC,shipped,conch_v15,donor,scaled,2,0.7897694843409022,0.012758351498325347,6.370722186705564,2.959758276215678,8.738383238769558,0.15722445931779816,0.05300605634129968,block,1203,False
HCC,shipped,conch_v15,patient,abs,2,0.7707239515447002,0.024610772018005905,1.6371943763959642,0.13711781762787018,3.8198998945222646,0.14545945221430578,0.08381659624099402,block,1203,False
HCC,shipped,conch_v15,patient,scaled,2,0.778205343669286,0.03310510893247916,3.847487008870911,0.7952190007131983,6.213790792038007,0.15427300867079208,0.06752164765992187,block,1203,False
HCC,shipped,conch_v15,random,abs,2,0.9004647546960978,0.00015661457998195628,1.6381151351925747,0.0016564863667658221,2.2086258425730456,0.07170812901308599,0.027827116290816134,spot,1203,False
HCC,shipped,conch_v15,random,scaled,2,0.8974323010457361,0.000885500219312466,2.734569132187108,0.13105866498614518,3.421827152269768,0.08476819847493897,0.017799500479324902,spot,1203,False
IDC,audited,conch_v15,donor,abs,3,0.8329524871907322,0.07748446341755694,4.575706698727131,0.43851677736587885,7.305268871261673,0.10872139559605747,0.058326117213210286,donor,3005,True
IDC,audited,conch_v15,donor,scaled,3,0.831571683611211,0.0904418141107057,6.749373331884958,1.890640902032109,9.66694652295663,0.11058103236769805,0.05784728402109097,donor,3005,True
IDC,audited,conch_v15,patient,abs,4,0.8206584943334441,0.06806547018546213,4.075335148506189,0.19776724432632697,7.069502891593558,0.11479332613141223,0.06454817953514377,patient,3005,True
IDC,audited,conch_v15,patient,scaled,4,0.8216100348340902,0.05922684197287395,5.965084388947008,1.670484412622428,9.105738327114485,0.11627776708523396,0.06211219808067586,patient,3005,True
IDC,audited,conch_v15,random,abs,4,0.8747464428252711,0.0013714843058467833,2.475246183811308,0.006485817533227067,3.606442787162263,0.06771365783552352,0.057539899339205315,spot,3005,True
IDC,audited,conch_v15,random,scaled,4,0.894558475997917,0.000814200258630449,2.7873131878379414,0.007875725236051753,3.643676002248245,0.06306573557107814,0.04237578843100477,spot,3005,True
IDC,shipped,conch_v15,donor,abs,4,0.8322109003776725,0.06957279836616224,4.122197945973694,0.2974201685240553,6.929539701370825,0.10649875699040717,0.061290342631920354,donor,3005,False
