task,encoder,fold,scale,alpha,is_formula_value,formula_alpha,d,gram_cond,gram_diag_mean,pearson
READ,hoptimus0,0,pca256,0.0,False,0.0078125,256,921.2776489257812,21582.869140625,0.2691980302333832
READ,hoptimus0,0,pca256,0.0001,False,0.0078125,256,921.2776489257812,21582.869140625,0.2692185342311859
READ,hoptimus0,0,pca256,0.001,False,0.0078125,256,921.2776489257812,21582.869140625,0.2692185342311859
READ,hoptimus0,0,pca256,0.01,False,0.0078125,256,921.2776489257812,21582.869140625,0.26921865344047546
READ,hoptimus0,0,pca256,0.1,False,0.0078125,256,921.2776489257812,21582.869140625,0.26921984553337097
READ,hoptimus0,0,pca256,1.0,False,0.0078125,256,921.2776489257812,21582.869140625,0.26923203468322754
READ,hoptimus0,0,pca256,10.0,False,0.0078125,256,921.2776489257812,21582.869140625,0.2693568766117096
READ,hoptimus0,0,pca256,100.0,False,0.0078125,256,921.2776489257812,21582.869140625,0.27050963044166565
READ,hoptimus0,0,pca256,1000.0,False,0.0078125,256,921.2776489257812,21582.869140625,0.2776201367378235
READ,hoptimus0,0,pca256,10000.0,False,0.0078125,256,921.2776489257812,21582.869140625,0.28511983156204224
READ,hoptimus0,0,pca256,100000.0,False,0.0078125,256,921.2776489257812,21582.869140625,0.26383766531944275
READ,hoptimus0,0,pca256,1000000.0,False,0.0078125,256,921.2776489257812,21582.869140625,0.226224884390831
READ,hoptimus0,0,raw,0.0,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.14632435142993927
READ,hoptimus0,0,raw,0.0001,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.1482546627521515
READ,hoptimus0,0,raw,0.001,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.1482572704553604
READ,hoptimus0,0,raw,0.01,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.14827366173267365
READ,hoptimus0,0,raw,0.1,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.1484716385602951
READ,hoptimus0,0,raw,1.0,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.15125492215156555
READ,hoptimus0,0,raw,10.0,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.16799482703208923
READ,hoptimus0,0,raw,100.0,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.21654614806175232
READ,hoptimus0,0,raw,1000.0,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.26933103799819946
READ,hoptimus0,0,raw,10000.0,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.2857270836830139
READ,hoptimus0,0,raw,100000.0,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.2640208899974823
READ,hoptimus0,0,raw,1000000.0,False,0.0013020833333333333,1536,3177604978835456.0,3818.999267578125,0.22627626359462738
READ,hoptimus0,1,pca256,0.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.17370718717575073
READ,hoptimus0,1,pca256,0.0001,False,0.0078125,256,669.5952758789062,25307.01953125,0.17402762174606323
READ,hoptimus0,1,pca256,0.001,False,0.0078125,256,669.5952758789062,25307.01953125,0.17402763664722443
READ,hoptimus0,1,pca256,0.01,False,0.0078125,256,669.5952758789062,25307.01953125,0.17402780055999756
READ,hoptimus0,1,pca256,0.1,False,0.0078125,256,669.5952758789062,25307.01953125,0.1740296185016632
READ,hoptimus0,1,pca256,1.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.17404775321483612
READ,hoptimus0,1,pca256,10.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.1742166131734848
READ,hoptimus0,1,pca256,100.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.1759759485721588
READ,hoptimus0,1,pca256,1000.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.19010917842388153
READ,hoptimus0,1,pca256,10000.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.23001068830490112
READ,hoptimus0,1,pca256,100000.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.22804641723632812
READ,hoptimus0,1,pca256,1000000.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.20810586214065552
READ,hoptimus0,1,raw,0.0,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.08501379191875458
READ,hoptimus0,1,raw,0.0001,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.08622974157333374
READ,hoptimus0,1,raw,0.001,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.08623064309358597
READ,hoptimus0,1,raw,0.01,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.08626449853181839
READ,hoptimus0,1,raw,0.1,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.08640842139720917
READ,hoptimus0,1,raw,1.0,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.08766250312328339
READ,hoptimus0,1,raw,10.0,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.09402598440647125
READ,hoptimus0,1,raw,100.0,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.11678782105445862
READ,hoptimus0,1,raw,1000.0,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.1757204830646515
READ,hoptimus0,1,raw,10000.0,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.236447274684906
READ,hoptimus0,1,raw,100000.0,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.22948460280895233
READ,hoptimus0,1,raw,1000000.0,False,0.0013020833333333333,1536,2867011734470656.0,4587.99951171875,0.20846359431743622
